name,tags
Ariana Park,young;college;romance;drama;music;dance
Leo Vance,detective;noir;thriller;gritty;veteran
Maya Chen,scientist;ai;hacker;startup;visionary
Raj Mehta,mentor;professor;calm;wise;humor
Sofia Kim,action;stunts;martial arts;spy;undercover
Hana Ortiz,comic relief;best friend;loyal;warm;supportive
Ethan Brooks,anti-hero;rogue;smuggler;charming
Nadia Idris,space pilot;sci-fi;commander;fearless
Omar Rahman,engineer;robotics;inventor;curious
Clara Duval,artist;painter;dreamy;fantasy;ethereal
Marcus Hale,police;chief;stern;protective
Yuki Tanaka,cyberpunk;hacker;neon;street-smart
Valentina Rossi,heist;strategist;precision;cool-headed
Diego Alvarez,surfer;coastal;easygoing;local
Priya Nair,doctor;empathy;resilient;drama
